model,train1,train2,train3,train4
yolo11l.pt,0.828190,0.969203,0.970226,0.970864
yolo11m.pt,0.828345,0.972445,0.972841,0.970585
yolo11n.pt,0.655565,0.921690,0.932853,0.940778
yolo11s.pt,0.748373,0.957854,0.959430,0.965562
yolo11x.pt,0.854855,0.971425,0.973005,0.973878
