entity_id,state,last_changed
sensor.shellyplugsg3_8cbfeaa49324_potencia,9.9,2026-05-13T06:13:00.052Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.7,2026-05-13T06:13:08.564Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.3,2026-05-13T06:13:13.607Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.2,2026-05-13T06:13:18.748Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.6,2026-05-13T06:13:23.888Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.8,2026-05-13T06:13:29.029Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,15.6,2026-05-13T06:13:35.198Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.6,2026-05-13T06:13:40.336Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.9,2026-05-13T06:13:45.478Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.8,2026-05-13T06:13:51.645Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.4,2026-05-13T06:13:56.785Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.8,2026-05-13T06:14:00.049Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,15.6,2026-05-13T06:14:01.926Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.6,2026-05-13T06:14:07.066Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.6,2026-05-13T06:14:12.207Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.6,2026-05-13T06:14:18.375Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.7,2026-05-13T06:14:24.543Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,9.7,2026-05-13T06:15:00.046Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.9,2026-05-13T06:15:24.265Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.9,2026-05-13T06:15:29.308Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.6,2026-05-13T06:15:34.446Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,15.0,2026-05-13T06:15:39.586Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.8,2026-05-13T06:15:45.755Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.6,2026-05-13T06:15:50.895Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.4,2026-05-13T06:15:56.035Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.8,2026-05-13T06:16:00.044Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.2,2026-05-13T06:16:01.178Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.8,2026-05-13T06:16:06.317Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.3,2026-05-13T06:16:11.458Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.5,2026-05-13T06:16:17.626Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.6,2026-05-13T06:16:23.794Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.6,2026-05-13T06:16:28.935Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.1,2026-05-13T06:16:35.104Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.3,2026-05-13T06:16:40.244Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.0,2026-05-13T06:16:45.385Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.4,2026-05-13T06:16:51.550Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.1,2026-05-13T06:17:00.041Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,11.8,2026-05-13T06:17:48.189Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.9,2026-05-13T06:17:53.232Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.5,2026-05-13T06:17:58.373Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.0,2026-05-13T06:18:00.039Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.4,2026-05-13T06:18:03.511Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.5,2026-05-13T06:18:08.653Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.7,2026-05-13T06:18:13.795Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.9,2026-05-13T06:18:18.936Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,17.0,2026-05-13T06:18:24.077Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,15.3,2026-05-13T06:18:29.217Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,15.6,2026-05-13T06:18:34.357Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.5,2026-05-13T06:18:40.525Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,15.6,2026-05-13T06:18:45.665Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.5,2026-05-13T06:18:50.804Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.7,2026-05-13T06:18:55.946Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,17.3,2026-05-13T06:19:00.039Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.6,2026-05-13T06:19:01.087Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,16.3,2026-05-13T06:19:06.228Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,14.9,2026-05-13T06:19:11.367Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,11.1,2026-05-13T06:19:17.536Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.0,2026-05-13T06:19:22.676Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,10.1,2026-05-13T06:20:00.034Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,13.3,2026-05-13T06:20:18.288Z
sensor.shellyplugsg3_8cbfeaa49324_potencia,12.8,2026-05-13T06:20:23.331Z
