class_id,class_name,mAP50,mAP50-95
0,sheep,0.948735327728907,0.581064255209947
1,cattle,0.962686761691558,0.6367643837609532
2,seal,0.9836252197849343,0.6912175923583395
3,camelus,0.8022754097609701,0.4235308664238385
4,kiang,0.8308381476757343,0.42012629814323377
5,zebra,0.8529576614363266,0.4799879522588628
6,crocodile,0.42601000192503363,0.24776102702207065
7,elephant,0.2998404036617565,0.0939840269804632
8,deer,0.014803790864703811,0.005810331470623603
9,horse,0.6793252991370886,0.3213491388684367

GLOBAL,all,0.6801098023667014,0.390159587249677
