class_id,class_name,mAP50,mAP50-95
0,sheep,0.8918842040618681,0.4818425049676226
1,cattle,0.870559670879395,0.542926214322354
2,seal,0.8955557576434087,0.5702949065573321
3,camelus,0.6435726807048519,0.31639745003196224
4,kiang,0.7052395189539304,0.3265456463046128
5,zebra,0.7410658078930497,0.3722076568351244
6,crocodile,0.8420714285714285,0.3286560136054421
7,elephant,0.47844481990545257,0.12731157224235115
8,deer,0.358866388518024,0.19194524995231738
9,horse,0.9793478260869563,0.5709357767431513

GLOBAL,all,0.7406608103218365,0.3829062991562271
