class_id,class_name,mAP50,mAP50-95
0,sheep,0.9531074218221911,0.5768572462540358
1,cattle,0.948878923460637,0.601585517313056
2,seal,0.6795232623828421,0.4179601850925514
3,camelus,0.789199427265136,0.3935626676957733
4,kiang,0.7223518612770906,0.34329833476871635
5,zebra,0.38018148197505075,0.2189645629924945
6,crocodile,0.01092247292101497,0.003299772689196957
7,elephant,0.0012376444733976314,0.000416667776098557
8,deer,0.0,0.0
9,horse,0.0,0.0

GLOBAL,all,0.448540249557736,0.2555944954581923
