class_id,class_name,mAP50,mAP50-95
0,sheep,0.9522323598904145,0.5795352773901118
1,cattle,0.9599396627867296,0.6508004565960898
2,seal,0.9795990557434504,0.6928937737186743
3,camelus,0.7253075929217779,0.37620536506548913
4,kiang,0.6589652749345336,0.3252147108590139
5,zebra,0.8483844748943905,0.4808695282050179
6,crocodile,0.3844253551861201,0.2408722773758242
7,elephant,0.2665487659229317,0.08209200212338286
8,deer,0.0031546268449084763,0.0012756927752108282
9,horse,0.31262348067505147,0.1558148174278488

GLOBAL,all,0.6091180649800308,0.3585573901536663
