class_id,class_name,mAP50,mAP50-95
0,sheep,0.9357692194902734,0.5207073323372915
1,cattle,0.9381455144764316,0.6099250071761585
2,seal,0.9548782366184045,0.6171543805455313
3,camelus,0.7719282857728698,0.3804269005378935
4,kiang,0.7977218338653463,0.3660710628281711
5,zebra,0.8806267343212562,0.47787687150126057
6,crocodile,0.7006732114735656,0.2801669890326209
7,elephant,0.5415953320801424,0.15317000012213364
8,deer,0.5389863113441096,0.2541141327031786
9,horse,0.924548698071954,0.5866680658395159

GLOBAL,all,0.7984873377514352,0.42462807426237553
