class_id,class_name,mAP50,mAP50-95
0,sheep,0.9599170607961265,0.5916386314799487
1,cattle,0.9447311957978427,0.6055433578965477
2,seal,0.6504675358621432,0.4195036250440197
3,camelus,0.7701533673288826,0.3760798248496407
4,kiang,0.6440206059954968,0.30110544785799315
5,zebra,0.28761206530989414,0.16884740354151834
6,crocodile,0.000683093678045011,0.00015746125382729332
7,elephant,0.0006145168185746988,0.00024960925487130194
8,deer,0.0,0.0
9,horse,0.00010034350832220041,1.0034350832220042e-05

GLOBAL,all,0.42582997850953275,0.24631353955291993
