class_id,class_name,mAP50,mAP50-95
0,sheep,0.9131701006930397,0.49541685966041005
1,cattle,0.8941988113374402,0.5221128145188196
2,seal,0.9295854074226291,0.5890864565508128
3,camelus,0.6571435314688053,0.296548114689186
4,kiang,0.742473873660241,0.3251642187930844
5,zebra,0.7165273326790749,0.35256564813202457
6,crocodile,0.3008536585365853,0.11159680544864944
7,elephant,0.4742321549204903,0.1260230218009668
8,deer,0.4007287599787162,0.21018486861935276
9,horse,0.995,0.5004755121398687

GLOBAL,all,0.7023913630697022,0.3529174320353175
