class_id,class_name,mAP50,mAP50-95
0,sheep,0.9442504125955522,0.5421416533233614
1,cattle,0.9059534528939329,0.5542189327583169
2,seal,0.9575932623255038,0.6282523714559665
3,camelus,0.7229670196383273,0.33247204624251186
4,kiang,0.8136820062448454,0.3454922662331955
5,zebra,0.7282809442312158,0.3487315044907402
6,crocodile,0.4965157221872993,0.19164835186045096
7,elephant,0.4962421511688173,0.13669926796934437
8,deer,0.17768584423973696,0.055749964689551165
9,horse,0.8931016681186902,0.4627321191647128

GLOBAL,all,0.7136272483643922,0.3598138478188151
