class_id,class_name,mAP50,mAP50-95
0,sheep,0.9207756564772315,0.48907151172424845
1,cattle,0.8992250383449762,0.5774787252986705
2,seal,0.9183003231216992,0.5727086970682854
3,camelus,0.7041732115308436,0.35025126812592217
4,kiang,0.7371688243654047,0.3379530856803855
5,zebra,0.7693957320891148,0.42908465302898025
6,crocodile,0.9092763157894735,0.38851668466202727
7,elephant,0.5693811213875899,0.1565766988809073
8,deer,0.5753412022310059,0.2948232044148222
9,horse,0.9323767239401791,0.6208834191085837

GLOBAL,all,0.7935414149277518,0.42173479479928333
