class_id,class_name,mAP50,mAP50-95
0,sheep,0.9510848773024955,0.5617979908788698
1,cattle,0.966996911528895,0.6519096412893876
2,seal,0.9857828456421772,0.6893152081273597
3,camelus,0.7342988312254548,0.3731607686064415
4,kiang,0.7900734192724924,0.383298190737702
5,zebra,0.8295286660897842,0.46118945049748594
6,crocodile,0.18975282407850158,0.08805723387702157
7,elephant,0.18933343637377376,0.05597311836243792
8,deer,0.00030916217897175645,7.137907978954419e-05
9,horse,0.01917135874044367,0.007892231426616325

GLOBAL,all,0.5656332332432991,0.3272665212883112
