class_id,class_name,mAP50,mAP50-95
0,sheep,0.9024028979062089,0.46750298330524276
1,cattle,0.8544763296559499,0.5369128751145895
2,seal,0.8906780736420878,0.5319007309065689
3,camelus,0.6564405351055418,0.31602756569595203
4,kiang,0.6979600559941275,0.31282853719248027
5,zebra,0.7915564622027046,0.42468400903630216
6,crocodile,0.9816666666666668,0.5453586666666667
7,elephant,0.5752754268392868,0.15770553437619322
8,deer,0.45926778242677824,0.27235767842199643
9,horse,0.9799999999999999,0.6056906254056844

GLOBAL,all,0.7789724230439352,0.41709692061216763
