class_id,class_name,mAP50,mAP50-95
0,sheep,0.9484469113129314,0.5486586588622492
1,cattle,0.9438069520487441,0.5952178527255736
2,seal,0.9604277933180069,0.6358338472463424
3,camelus,0.8001656532025926,0.38247426813376084
4,kiang,0.8235326482811777,0.36949125077044126
5,zebra,0.8310158935657403,0.4470101623778458
6,crocodile,0.3023135825736326,0.10359746209848705
7,elephant,0.5003238303372199,0.1300768820011619
8,deer,0.4124408618483981,0.20355563584911396
9,horse,0.9003933794406417,0.3808993889961503

GLOBAL,all,0.7422867505929085,0.37968154090611267
