class_id,class_name,mAP50,mAP50-95
0,sheep,0.8980753133906366,0.46733338802119545
1,cattle,0.8737188836539721,0.5421730323869933
2,seal,0.8969514152025543,0.5380582544426535
3,camelus,0.6686316706800001,0.33219450541494583
4,kiang,0.6758192694404425,0.3165267015597787
5,zebra,0.7702010896209457,0.3958005769084932
6,crocodile,0.8346363636363637,0.4026177866464099
7,elephant,0.5589935997630091,0.15714878645641675
8,deer,0.4424287141185328,0.26974558393524006
9,horse,0.9932608695652173,0.5945095407500917

GLOBAL,all,0.7612717189071674,0.40161081565222184
