class_id,class_name,mAP50,mAP50-95
0,sheep,0.9252086754334886,0.5133950709087922
1,cattle,0.889816774598392,0.5744940987416756
2,seal,0.9415255376873638,0.5922901859358629
3,camelus,0.7020089757399772,0.33919828517814465
4,kiang,0.7559819859006729,0.34549366004378035
5,zebra,0.7633797659890709,0.39328206360176327
6,crocodile,0.9235,0.43849936402116396
7,elephant,0.5162935012609076,0.1430179082108928
8,deer,0.5120045045045045,0.3011730097240098
9,horse,0.9457062585655548,0.6025761894392598

GLOBAL,all,0.7875425979679933,0.42434198358053443
