class_id,class_name,mAP50,mAP50-95
0,sheep,0.9363538913216616,0.5184073201765002
1,cattle,0.9223095366295544,0.6088721610258998
2,seal,0.9563265762525617,0.6190307714810126
3,camelus,0.7835238920262306,0.386347334903692
4,kiang,0.8010628349734363,0.3684248062252803
5,zebra,0.8789704938949465,0.48816287309221124
6,crocodile,0.8632828282828282,0.39539982995247913
7,elephant,0.5501808729586851,0.1558974895215924
8,deer,0.5200916151244022,0.23701241583090615
9,horse,0.9344869822993641,0.5824537575599462

GLOBAL,all,0.814658952376367,0.4360008759769519
