class_id,class_name,mAP50,mAP50-95
0,sheep,0.9379144456924694,0.5246932972925007
1,cattle,0.9167303164658718,0.5770530257867168
2,seal,0.9504290986236125,0.6208800908556076
3,camelus,0.7061427358735992,0.32643583155537303
4,kiang,0.7972143111797731,0.36300445357009103
5,zebra,0.7546228199060195,0.40150196305744706
6,crocodile,0.21675955006298622,0.10407293022556688
7,elephant,0.5041454877031285,0.14089958807451555
8,deer,0.46651686207159965,0.24032240315208392
9,horse,0.9008490762846346,0.45024891405089046

GLOBAL,all,0.7151324703863694,0.3749112497620793
