class_id,class_name,mAP50,mAP50-95
0,sheep,0.9069486165199578,0.48588230606555244
1,cattle,0.873301170069858,0.5490390157776638
2,seal,0.8938499574204678,0.5517557886937731
3,camelus,0.6839808855176134,0.33164905206268513
4,kiang,0.7268534001141636,0.34903828540346554
5,zebra,0.7626186217339825,0.39766672924110125
6,crocodile,0.8644017094017096,0.49422304228747177
7,elephant,0.5215030997012942,0.1411329788792828
8,deer,0.28777937745337734,0.1680638104152558
9,horse,0.995,0.6095612926845531

GLOBAL,all,0.7516236837932424,0.40780123015108044
