class_id,class_name,mAP50,mAP50-95
0,sheep,0.9017737361778866,0.4687895199776224
1,cattle,0.8469001112439034,0.5336643237108196
2,seal,0.906592048719886,0.550567683445917
3,camelus,0.669590948959229,0.32186090356203245
4,kiang,0.7032958657757361,0.3184972633000802
5,zebra,0.7927219228524796,0.4130681726504103
6,crocodile,0.9538888888888888,0.5011412083612787
7,elephant,0.5444424550061597,0.14573579176183538
8,deer,0.4321535580524345,0.25392788014981277
9,horse,0.995,0.5830035556561806

GLOBAL,all,0.7746359535676605,0.40902563025759897
