class_id,class_name,mAP50,mAP50-95
0,sheep,0.9494517643374638,0.5730802529351201
1,cattle,0.966064272432321,0.6490898826973217
2,seal,0.981936325315672,0.6886807664477286
3,camelus,0.7276183027271073,0.36848235469735857
4,kiang,0.8131338196750515,0.4041879377036919
5,zebra,0.8414192702559061,0.47241464130021915
6,crocodile,0.31701515350950715,0.18766771255878867
7,elephant,0.24703556465011167,0.07350867136367856
8,deer,0.0008289288783799188,0.0002807902884021385
9,horse,0.14939331798524708,0.06660001458915507

GLOBAL,all,0.5993896719766767,0.3483993024581465
