class_id,class_name,mAP50,mAP50-95
0,sheep,0.906704633043242,0.480664762491115
1,cattle,0.8657218105488493,0.5448889686913443
2,seal,0.8748231756273649,0.5411804547898359
3,camelus,0.676330617452706,0.32595092283177507
4,kiang,0.7286725091279345,0.3486468987572816
5,zebra,0.7566845599516134,0.38873868622934016
6,crocodile,0.6995998445998446,0.3799957864801865
7,elephant,0.5147157777837638,0.13199837150850008
8,deer,0.35694874074792143,0.19790746352626126
9,horse,0.9815217391304346,0.5593926548981148

GLOBAL,all,0.7361723408013675,0.3899364970203754
