class_id,class_name,mAP50,mAP50-95
0,sheep,0.9040587722585075,0.4691038250049632
1,cattle,0.8619869393799383,0.543469502898541
2,seal,0.8899131122545796,0.5458236415694877
3,camelus,0.680537418142281,0.32302851286819856
4,kiang,0.6970634141047415,0.32218766401117016
5,zebra,0.810049462627528,0.4318813739821761
6,crocodile,0.995,0.46891021227768215
7,elephant,0.541557717401897,0.14931977710346372
8,deer,0.48083839293371067,0.27536181937349163
9,horse,0.9823739130434783,0.6163096430210819

GLOBAL,all,0.7843379142146661,0.4145395972110256
