class_id,class_name,mAP50,mAP50-95
0,sheep,0.9299853745963412,0.5145351186253483
1,cattle,0.8908535340967062,0.5710428214029508
2,seal,0.9339265824052013,0.591716208422439
3,camelus,0.6925299110172964,0.334724200560752
4,kiang,0.759111743842635,0.3335572071166658
5,zebra,0.7492703658537613,0.392411690495831
6,crocodile,0.9394444444444443,0.4721358905472637
7,elephant,0.5160486071663377,0.14245792662146434
8,deer,0.6770380241648899,0.30118423982923914
9,horse,0.9018049212358041,0.5802455246712162

GLOBAL,all,0.7990013508823417,0.4234010828293171
