class_id,class_name,mAP50,mAP50-95
0,sheep,0.9488181551899875,0.5701662938368044
1,cattle,0.964542888549936,0.6441898122382174
2,seal,0.9831339492542976,0.6716083522433013
3,camelus,0.7455560185473605,0.38015622126997
4,kiang,0.7803047479745727,0.37769560956586706
5,zebra,0.8032296287070141,0.4411212956930649
6,crocodile,0.12227143259518584,0.05864341112068133
7,elephant,0.12213503693224681,0.03096780004938316
8,deer,0.00023645751840185725,7.842020893277126e-05
9,horse,0.005079350131539311,0.0022423548641706307

GLOBAL,all,0.5475307665400542,0.31768695710903927
