class_id,class_name,mAP50,mAP50-95
0,sheep,0.9518838367586331,0.5710699439087454
1,cattle,0.9606279230667292,0.6446362237684284
2,seal,0.8943054286814488,0.5688499749603253
3,camelus,0.8066438850153708,0.40813634732138926
4,kiang,0.7537133941380462,0.3634320109928978
5,zebra,0.7502534619504462,0.41179017185673816
6,crocodile,0.017727836929913428,0.007790554520483754
7,elephant,0.01622188721738167,0.004452663595957274
8,deer,0.0,0.0
9,horse,0.002188715690211774,0.001309392310131569

GLOBAL,all,0.5153566369448181,0.29814672832350964
