class_id,class_name,mAP50,mAP50-95
0,sheep,0.9370905523634538,0.547013817703885
1,cattle,0.9212321285668332,0.5578489395865257
2,seal,0.7532458975903672,0.4683142047880538
3,camelus,0.6915808425156758,0.30484692025254834
4,kiang,0.5836611432735066,0.24672360705147808
5,zebra,0.522359850153722,0.26768643820886817
6,crocodile,0.0008661022930489534,0.00029366349994065696
7,elephant,0.008115731511269061,0.002221762647042536
8,deer,4.6395096416554616e-05,1.929308138951029e-05
9,horse,0.001201850544136331,0.0003603538206323276

GLOBAL,all,0.4419400493908429,0.23953290006403644
