class_id,class_name,mAP50,mAP50-95
0,sheep,0.9559961024635883,0.5827986391180352
1,cattle,0.9447367787359497,0.602338665826825
2,seal,0.6619735509009185,0.42395847967256267
3,camelus,0.7884658293501176,0.38556927548896713
4,kiang,0.6902826224967052,0.3200870543614772
5,zebra,0.33244215390614074,0.19494428030969138
6,crocodile,0.0019225912348046716,0.0006213151764635796
7,elephant,0.0007191302209248676,0.00026257015031494544
8,deer,0.0,0.0
9,horse,0.0,0.0

GLOBAL,all,0.437653875930915,0.2510580280104337
