class_id,class_name,mAP50,mAP50-95
0,sheep,0.9418354590592779,0.5216945386248037
1,cattle,0.9369628875164759,0.60640563265113
2,seal,0.9571520769028558,0.623879459993099
3,camelus,0.801212868338683,0.3929138184799081
4,kiang,0.7982737404740062,0.3662933912657149
5,zebra,0.8658783713770116,0.4697707235948914
6,crocodile,0.5882132636838521,0.222075606156031
7,elephant,0.5475638176729103,0.15354771963157252
8,deer,0.5292469278167555,0.24961867121129191
9,horse,0.931898364389234,0.5971432098584697

GLOBAL,all,0.7898237777231062,0.42033427714669114
