class_id,class_name,mAP50,mAP50-95
0,sheep,0.9069708060397925,0.47605588265189624
1,cattle,0.8542654370125605,0.5377844376826149
2,seal,0.8939182609798069,0.5398768605435302
3,camelus,0.663402681250874,0.323605164965217
4,kiang,0.7088150331883976,0.3259492635276464
5,zebra,0.7948896143997854,0.4143936920553554
6,crocodile,0.9816666666666668,0.46185099245418615
7,elephant,0.569655184237555,0.15869249265986446
8,deer,0.4485051546391753,0.24943571330387826
9,horse,0.995,0.6071033945107742

GLOBAL,all,0.7817088838414614,0.40947478943549626
