class_id,class_name,mAP50,mAP50-95
0,sheep,0.926173065061325,0.5093681476652365
1,cattle,0.8907504709835882,0.5796666981189262
2,seal,0.9141716243466119,0.5832975344192476
3,camelus,0.7093524092842256,0.3499626261125971
4,kiang,0.7626862290279255,0.33896377382686266
5,zebra,0.7689254161570991,0.4167073871869003
6,crocodile,0.9672222222222222,0.5798554098554844
7,elephant,0.517485109956819,0.147871111987036
8,deer,0.7394820355610053,0.3486649502009674
9,horse,0.9476998612074947,0.6010673845102306

GLOBAL,all,0.8143948443808317,0.4455425023883488
