class_id,class_name,mAP50,mAP50-95
0,sheep,0.9477264024891892,0.5763022816569483
1,cattle,0.9669629021757192,0.6466102009732654
2,seal,0.9820928608096873,0.6880483895193905
3,camelus,0.6938560415581116,0.3564387016110583
4,kiang,0.847772468935992,0.4188627210720567
5,zebra,0.84284247876706,0.47649522817053835
6,crocodile,0.24962809985108433,0.1356602765207077
7,elephant,0.2501966430876059,0.07663610632982691
8,deer,0.0015127779141529117,0.0005499767532776464
9,horse,0.24036021882549924,0.10748187791274558

GLOBAL,all,0.6022950894414102,0.34830857605198146
