model,train1,train2,train3,train4
yolo11l.pt,99.317275,128.153220,139.304033,216.899729
yolo11m.pt,83.548047,102.024720,110.879235,174.049371
yolo11n.pt,55.933726,47.854755,51.384150,60.020931
yolo11s.pt,53.122508,61.789864,67.094145,86.833456
yolo11x.pt,160.305692,214.760582,240.007689,382.667621
